runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
100,-0.5846926734375,-0.58504415625,0.012249522742360118,-0.6026678615625,-0.6002210835937499,-0.5961431203124999,-0.59399591015625,-0.58504415625,-0.57715216015625,-0.573547984375,-0.5661358515625,-0.561688571875
200,-0.5933706687500001,-0.5942234609375002,0.00976347743820401,-0.6079068871875002,-0.6072442101562501,-0.6061397484375,-0.60097650390625,-0.5942234609375002,-0.5868759257812501,-0.580126621875,-0.57921556875,-0.5786689368750001
300,-0.6018538937500002,-0.602003640625,0.004944227486170104,-0.6090640578125001,-0.6088285039062501,-0.6084359140625003,-0.6055976328125,-0.602003640625,-0.5977719257812502,-0.5952065249999999,-0.5950698093750002,-0.5949877800000003
400,-0.6214047828125,-0.6214257187500001,0.013062526970651873,-0.6403152606250001,-0.6387926125000001,-0.6362548656250002,-0.631855171875,-0.6214257187500001,-0.6096785820312499,-0.605741609375,-0.6053096796875,-0.605050521875
500,-0.6279335156249999,-0.628586703125,0.007526650387095238,-0.6403152606250001,-0.6387926125000001,-0.6362548656250002,-0.631855171875,-0.628586703125,-0.6233341796875,-0.6202349781250001,-0.616863746875,-0.614841008125
600,-0.6391316890625002,-0.6379637734375001,0.01309351845364048,-0.6643528834375002,-0.6591950523437502,-0.6505986671875003,-0.64502620703125,-0.6379637734375001,-0.63329758203125,-0.6239145609375,-0.62107343671875,-0.6193687621875
700,-0.6450246046875001,-0.6446301640625001,0.016686928315348112,-0.6742075146875002,-0.6720949039062502,-0.6685738859375001,-0.6504746601562499,-0.6446301640625001,-0.63561607421875,-0.6239145609375,-0.62107343671875,-0.6193687621875
800,-0.6531287078125001,-0.6557912265625,0.015623843921533159,-0.6785517209375003,-0.6750087007812502,-0.6691036671875001,-0.6638672890624999,-0.6557912265625,-0.6406645117187502,-0.6335429968749998,-0.6314377562499999,-0.6301746118749998
900,-0.6600625999999998,-0.6607014296874998,0.01344365956750995,-0.6858017465625003,-0.6803140851562501,-0.6711679828125001,-0.6670418242187501,-0.6607014296874998,-0.6505797968749998,-0.6432048296875001,-0.6422915476562501,-0.6417435784375
1000,-0.6712268453125001,-0.6740903593750001,0.01557905983336223,-0.6894498234375002,-0.6894342773437501,-0.6894083671874998,-0.6849709726562501,-0.6740903593750001,-0.6596021249999999,-0.6492752640624998,-0.6481239601562498,-0.6474331778124999
1100,-0.6789543171875001,-0.6846226015625002,0.013071103394279667,-0.6925827378125001,-0.6916152898437501,-0.6900028765625,-0.6892863867187498,-0.6846226015625002,-0.67015483984375,-0.6668560390624999,-0.6581935742187499,-0.6529960953124998
1200,-0.6936304671874999,-0.6890923359374999,0.016210461629895735,-0.7215354871875002,-0.7212346945312501,-0.7207333734375001,-0.70300028125,-0.6890923359374999,-0.6830407968749997,-0.6756000984374999,-0.67533609609375,-0.6751776946875
1300,-0.6955034296874999,-0.6933835937499999,0.01638649536033269,-0.7215354871875002,-0.7212346945312501,-0.7207333734375001,-0.70768586328125,-0.6933835937499999,-0.6830407968749997,-0.6756000984374999,-0.67533609609375,-0.6751776946875
1400,-0.6997561640625,-0.6933861093749998,0.016857790906119288,-0.7267716484375002,-0.7247467539062502,-0.7213719296875001,-0.71534403125,-0.6933861093749998,-0.6848685585937502,-0.6833046046874999,-0.6814896070312499,-0.6804006084374999
1500,-0.7024703906249999,-0.7009694296875,0.016828514311327827,-0.7272952796875002,-0.7260558320312502,-0.7239900859375001,-0.71840392578125,-0.7009694296875,-0.686538671875,-0.6840637265625001,-0.6818691679687501,-0.6805524328125
1600,-0.710416634375,-0.7066650156249998,0.021288033153242673,-0.7511151475000003,-0.7449269078125001,-0.7346131750000001,-0.7253207539062502,-0.7066650156249998,-0.6912394804687502,-0.6886560031249997,-0.6884821343749999,-0.688377813125
1700,-0.71583770625,-0.716370671875,0.02035243663666959,-0.7524245371875002,-0.7472772023437502,-0.7386983109375,-0.7277858164062501,-0.716370671875,-0.7010491406249999,-0.6899570937500002,-0.6891326796875001,-0.6886380312500001
1800,-0.7196367171875001,-0.7213750937499999,0.018982525174169134,-0.7524245371875002,-0.7472772023437502,-0.7386983109375,-0.7318718554687501,-0.7213750937499999,-0.7040400937499999,-0.6944978734374999,-0.69346061640625,-0.6928382621875
1900,-0.724077703125,-0.7263569609374998,0.019321008168596686,-0.7548065850000003,-0.7500428062500003,-0.7421031750000001,-0.7361837539062501,-0.7263569609374998,-0.7065192890624998,-0.6970949687500001,-0.6967773671875,-0.69658680625
2000,-0.72514613125,-0.7288130312499999,0.018789755246789153,-0.7548898096875003,-0.7502508679687503,-0.7425192984375001,-0.7361837539062501,-0.7288130312499999,-0.7072783593749999,-0.7009628875000001,-0.6987113265625,-0.69736039
2100,-0.7285063046875001,-0.7312868437499997,0.016796239182861897,-0.7554564384375003,-0.7516674398437502,-0.7453524421875001,-0.7391907148437501,-0.7312868437499997,-0.7175757421875,-0.7039504546874998,-0.70270684453125,-0.7019606784375001
2200,-0.732263840625,-0.7339393281250001,0.01564718688185249,-0.7556396025000003,-0.7521253500000002,-0.7462682625000001,-0.7425629140625,-0.7339393281250001,-0.7208202148437499,-0.7152188484374999,-0.7083410414062501,-0.7042143571875001
2300,-0.7342425250000001,-0.7340468828125,0.014196729759121481,-0.7556396025000003,-0.7521253500000002,-0.7462682625000001,-0.74354080859375,-0.7340468828125,-0.7301330390625,-0.718181334375,-0.7108035421875002,-0.7063768668750002
2400,-0.7355261421875,-0.7389046484374999,0.014469845859821938,-0.7559058843750003,-0.7527910546875003,-0.7475996718750001,-0.74405917578125,-0.7389046484374999,-0.7303430468750001,-0.7181923453125,-0.71086410234375,-0.7064671565624999
2500,-0.7360233593750001,-0.7413079453125,0.014589015063207776,-0.7559482553125002,-0.7528194742187502,-0.7476048390625001,-0.7440876523437501,-0.7413079453125,-0.7303430468750001,-0.7181923453125,-0.71086410234375,-0.7064671565624999
2600,-0.7372908343750001,-0.7427773671875,0.014730250510530654,-0.7564482784375002,-0.7540695320312502,-0.7501049546874999,-0.7460761953125001,-0.7427773671875,-0.7303430468750001,-0.718388596875,-0.7119434859375001,-0.7080764193750001
2700,-0.7374345750000001,-0.7434960703125,0.01479670589641988,-0.7564482784375002,-0.7540695320312502,-0.7501049546874999,-0.7460761953125001,-0.7434960703125,-0.7303430468750001,-0.718388596875,-0.7119434859375001,-0.7080764193750001
2800,-0.738153778125,-0.7435259218749999,0.015342349164670433,-0.7571925081250002,-0.75593010625,-0.7538261031249999,-0.7475848125,-0.7435259218749999,-0.7303430468750001,-0.718388596875,-0.7119434859375001,-0.7080764193750001
2900,-0.7385862625,-0.7435259218749999,0.015137933598319761,-0.7571925081250002,-0.75593010625,-0.7538261031249999,-0.7475848125,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3000,-0.7385862625,-0.7435259218749999,0.015137933598319761,-0.7571925081250002,-0.75593010625,-0.7538261031249999,-0.7475848125,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3100,-0.7391775375,-0.7435259218749999,0.015543424921589062,-0.7571925081250002,-0.75593010625,-0.7538261031249999,-0.7512601875,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3200,-0.7391775375,-0.7435259218749999,0.015543424921589062,-0.7571925081250002,-0.75593010625,-0.7538261031249999,-0.7512601875,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3300,-0.7399270234375,-0.7435259218749999,0.016322130206760318,-0.759526125,-0.7590348515625002,-0.7582160625000003,-0.7520100117187498,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
3400,-0.7399270234375,-0.7435259218749999,0.016322130206760318,-0.759526125,-0.7590348515625002,-0.7582160625000003,-0.7520100117187498,-0.7435259218749999,-0.7335866796874999,-0.718388596875,-0.7119434859375001,-0.7080764193750001
