runtime, mean, median, std, 2%, 5%, 10%, 25%, 50%, 75%, 90%, 95%, 98%
100,-76.6,-74.0,11.482160075525858,-99.3,-95.25,-88.5,-82.5,-74.0,-72.25,-64.4,-61.7,-60.08
200,-83.0,-80.5,12.441864811996632,-101.82,-101.55,-101.1,-91.75,-80.5,-72.25,-70.6,-68.80000000000001,-67.72
300,-93.8,-90.5,15.91728620085723,-119.82,-119.55,-119.1,-101.75,-90.5,-84.0,-72.9,-72.45,-72.18
400,-107.2,-105.5,17.59431726438966,-142.78,-134.95,-121.9,-115.0,-105.5,-92.5,-87.0,-87.0,-87.0
500,-122.0,-115.5,14.946571513226704,-147.46,-146.65,-145.3,-130.0,-115.5,-114.25,-110.5,-103.75000000000001,-99.69999999999999
600,-136.6,-140.5,16.378034070058593,-154.82,-154.55,-154.1,-143.0,-140.5,-136.25,-115.9,-106.45000000000002,-100.78
700,-145.0,-145.0,15.646085772486357,-167.1,-165.75,-163.5,-157.0,-145.0,-140.0,-120.7,-119.35000000000001,-118.53999999999999
800,-151.8,-152.5,15.497096502248413,-172.1,-170.75,-168.5,-164.5,-152.5,-140.75,-138.1,-129.55,-124.41999999999999
900,-152.8,-154.5,15.734039532173549,-174.1,-172.75,-170.5,-164.5,-154.5,-142.25,-138.1,-129.55,-124.41999999999999
1000,-163.8,-166.5,16.0299719276111,-187.3,-183.25,-176.5,-174.5,-166.5,-154.75,-147.9,-138.45000000000002,-132.78
1100,-170.6,-169.5,14.38888459888396,-194.02,-191.05,-186.1,-181.5,-169.5,-162.75,-149.9,-149.45,-149.18
1200,-174.6,-178.5,14.582180906846547,-198.94,-194.35,-186.7,-182.0,-178.5,-168.25,-152.7,-151.35,-150.54
1300,-180.4,-182.5,14.368020044529448,-204.94,-200.35,-192.7,-185.0,-182.5,-177.25,-161.9,-156.95000000000002,-153.98
1400,-183.4,-184.5,15.447977213862014,-211.3,-207.25,-200.5,-188.5,-184.5,-177.25,-164.1,-160.05,-157.62
1500,-188.2,-188.5,15.26302722267113,-214.94,-210.35,-202.7,-198.5,-188.5,-179.75,-170.1,-166.05,-163.62
1600,-190.2,-188.5,15.07846145997661,-216.94,-212.35,-204.7,-200.5,-188.5,-182.75,-170.5,-168.25,-166.9
1700,-191.2,-188.5,13.68064325973015,-216.94,-212.35,-204.7,-200.5,-188.5,-182.75,-174.7,-173.35,-172.54
1800,-191.8,-189.5,13.84774349849101,-218.58,-213.45,-204.9,-200.5,-189.5,-182.75,-176.5,-174.25,-172.9
1900,-192.4,-189.5,13.944174410842686,-219.3,-215.25,-208.5,-200.5,-189.5,-182.75,-176.7,-175.35,-174.54
2000,-192.6,-189.5,13.734627770711517,-219.3,-215.25,-208.5,-200.5,-189.5,-182.75,-178.5,-176.25,-174.9
2100,-192.8,-189.5,13.548431643551957,-219.3,-215.25,-208.5,-200.5,-189.5,-182.75,-180.3,-177.15,-175.26
2200,-192.8,-189.5,13.548431643551957,-219.3,-215.25,-208.5,-200.5,-189.5,-182.75,-180.3,-177.15,-175.26
2300,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2400,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2500,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2600,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2700,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2800,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
2900,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
3000,-193.6,-190.5,13.085870242364471,-219.3,-215.25,-208.5,-200.5,-190.5,-187.25,-180.3,-177.15,-175.26
3100,-194.0,-191.5,13.061393493804557,-219.3,-215.25,-208.5,-201.0,-191.5,-187.25,-180.3,-177.15,-175.26
3200,-194.0,-191.5,13.061393493804557,-219.3,-215.25,-208.5,-201.0,-191.5,-187.25,-180.3,-177.15,-175.26
3300,-194.0,-191.5,13.061393493804557,-219.3,-215.25,-208.5,-201.0,-191.5,-187.25,-180.3,-177.15,-175.26
3400,-194.0,-191.5,13.061393493804557,-219.3,-215.25,-208.5,-201.0,-191.5,-187.25,-180.3,-177.15,-175.26
3500,-194.8,-194.0,12.913558765886343,-219.3,-215.25,-208.5,-201.25,-194.0,-187.75,-180.3,-177.15,-175.26
3600,-195.2,-194.0,13.006152390311287,-219.3,-215.25,-208.5,-202.25,-194.0,-187.75,-180.3,-177.15,-175.26
3700,-195.6,-194.0,13.207573584879244,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-180.3,-177.15,-175.26
3800,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
3900,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4000,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4100,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4200,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4300,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4400,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4500,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4600,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4700,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4800,-195.8,-194.0,12.998461447417537,-219.3,-215.25,-208.5,-203.75,-194.0,-187.75,-182.1,-178.05,-175.62
4900,-196.2,-196.0,13.029197979921866,-219.3,-215.25,-208.5,-203.75,-196.0,-187.75,-182.1,-178.05,-175.62
5000,-196.8,-196.0,12.09793370786929,-219.3,-215.25,-208.5,-203.75,-196.0,-187.75,-182.7,-181.35,-180.54
5100,-197.0,-196.0,12.231107881136523,-219.3,-215.25,-208.5,-205.25,-196.0,-187.75,-182.7,-181.35,-180.54
5200,-197.0,-196.0,12.231107881136523,-219.3,-215.25,-208.5,-205.25,-196.0,-187.75,-182.7,-181.35,-180.54
5300,-197.0,-196.0,12.231107881136523,-219.3,-215.25,-208.5,-205.25,-196.0,-187.75,-182.7,-181.35,-180.54
5400,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
5500,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
5600,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
5700,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
5800,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
5900,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
6000,-198.2,-196.0,10.979981785048645,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.4,-185.70000000000002,-184.07999999999998
6100,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6200,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6300,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6400,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6500,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6600,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6700,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6800,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
6900,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7000,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7100,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7200,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7300,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7400,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7500,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7600,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7700,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7800,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
7900,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
8000,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
8100,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
8200,-198.6,-196.0,10.480458005259122,-219.3,-215.25,-208.5,-205.25,-196.0,-190.0,-188.8,-187.9,-187.36
8300,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8400,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8500,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8600,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8700,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8800,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
8900,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9000,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9100,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9200,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9300,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9400,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9500,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9600,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9700,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9800,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
9900,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
10000,-198.8,-196.0,10.31309846748299,-219.3,-215.25,-208.5,-205.25,-196.0,-190.25,-189.7,-188.35,-187.54
